variable,varlabel,N,mean,sd,min,p1,p5,p10,p25,p50,p75,p90,p95,p99,max,skewness,kurtosis
kgd101,获得工作主要渠道,23665,-7.9752798,1.032692,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,77,72.135437,5828.437
kgd2,胜任工作的教育程度,23665,-7.2373972,3.2591364,-8,-8,-8,-8,-8,-8,-8,-8,3,11,11,4.2448444,19.991074
qg1,当前最主要工作/最近结束的工作的工作所有者,27001,-.24625014,5.4734569,-8,-8,-8,-8,-8,1,5,5,5,5,5,-.53953403,1.5864851
qg101,当前最主要工作/最近结束的工作的工作性质,27001,-.057997853,5.5814481,-8,-8,-8,-8,-8,1,5,5,5,5,5,-.57142615,1.5743972
jobclass_base,当前最主要工作/最近结束的工作类型（base）,23665,-.17050497,4.9469934,-8,-8,-8,-8,-8,1,4,4,4,4,4,-.83537835,1.9214303
jobclass,当前最主要工作/最近结束的工作类型,23665,-.13517854,4.976757,-8,-8,-8,-8,-8,1,4,4,4,5,5,-.82633656,1.9170414
qg2,雇主性质,27001,-3.0095551,7.9006367,-8,-8,-8,-8,-8,-8,4,4,5,9,77,4.5869174,45.230186
qg201,雇主是个体工商户,27001,-7.8271546,1.1563725,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,0,6.5501523,43.962433
qg2032,是否有编制,23665,-7.0858231,2.6318405,-8,-8,-8,-8,-8,-8,-8,0,1,1,1,2.5442574,7.5142126
qg301,工作地点,23665,-2.6543841,5.6210413,-8,-8,-8,-8,-8,-8,3,4,6,8,8,.2182914,1.305804
qg3011,上下班单程时间(分钟),23665,4.9358544,19.879183,-8,-8,-8,-8,-8,-8,15,30,40,80,240,3.0052218,20.920591
qg401,工作收入满意度,23665,.31012043,5.1939931,-8,-8,-8,-8,-8,3,4,4,5,5,5,-.90946305,1.9586009
qg402,工作安全满意度,23665,.65560955,5.3825088,-8,-8,-8,-8,-8,4,4,5,5,5,5,-.94181889,1.9757389
qg403,工作环境满意度,23665,.52909362,5.31811,-8,-8,-8,-8,-8,4,4,5,5,5,5,-.92597437,1.9654977
qg404,工作时间满意度,23665,.48582295,5.2978058,-8,-8,-8,-8,-8,4,4,5,5,5,5,-.91842228,1.9602646
qg405,工作晋升满意度,23665,27.808071,38.984928,-8,-8,-8,-8,-8,4,79,79,79,79,79,.52276748,1.3326544
qg406,工作满意度,23665,.50133109,5.2943854,-8,-8,-8,-8,-8,4,4,5,5,5,5,-.93304765,1.9708673
qg5,是否签订合同,23665,-4.4608493,4.2367301,-8,-8,-8,-8,-8,-8,0,1,1,1,1,.37282664,1.1608627
qg501,是否约定合同期限,23665,-5.8951192,3.7485273,-8,-8,-8,-8,-8,-8,-8,1,1,1,1,1.2266779,2.520601
qg502,与谁签合同,23665,-6.487175,3.1913054,-8,-8,-8,-8,-8,-8,-8,0,0,1,1,1.6443292,3.7281072
qg6,每周工作时间(小时/周),23665,28.930454,31.567362,-8,-8,-8,-8,-8,35,56,70,77,98,168,.22330667,2.1253512
qg601,上夜班频率,23665,-3.3405452,5.29706,-8,-8,-8,-8,-8,-8,1,4,6,7,7,.41809875,1.5303146
qg602,周末上班频率,23665,-2.5412636,6.0719566,-8,-8,-8,-8,-8,-8,5,5,5,5,5,.25745812,1.1371193
qg603,是否随时到岗,23665,-4.1373758,4.2511997,-8,-8,-8,-8,-8,-8,0,1,1,1,1,.20446375,1.0665163
qg604,上下班时间弹性,23665,-3.3686879,5.1105022,-8,-8,-8,-8,-8,-8,2,3,3,3,3,.21918014,1.0899394
qg7_s_1,现金福利：选择1,23665,15.470399,36.965969,-8,-8,-8,-8,-8,-8,77,78,78,78,78,1.0803152,2.203716
qg7_s_2,现金福利：选择2,23665,-6.7959013,7.7655168,-8,-8,-8,-8,-8,-8,-8,-8,2,4,77,9.8090744,104.9761
qg7_s_3,现金福利：选择3,23665,-7.3388128,6.1435366,-8,-8,-8,-8,-8,-8,-8,-8,-8,4,77,12.794418,174.30844
qg7_s_4,现金福利：选择4,23665,-7.745616,3.9431634,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,77,20.307882,433.27701
qg7_s_5,现金福利：选择5,23665,-7.9476867,2.0726864,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,77,40.76128,1669.4697
