variable,varlabel,N,mean,sd,min,p1,p5,p10,p25,p50,p75,p90,p95,p99,max,skewness,kurtosis
pid,个人ID,27001,390134624,182931856,100051504,120097400,130568104,140244656,230409104,410845088,510506112,620498112,621233088,621866112,6759191552,7.6849203,243.36652
fid22,2022年家庭样本编码,27001,408113.53,292808.75,100051,111999,130506,140329,230265,410978,528822,620968,624880,746302,6769401,12.442464,243.90958
fid20,2020年家庭样本编码,27001,395777.13,285932.72,-8,-8,130228,140052,220171,410786,520209,620787,621646,740544,6929111,12.387651,254.87221
fid18,2018年家庭样本编码,27001,384226.16,275467.13,-8,-8,130012,130880,211917,410470,510661,620641,621492,748017,6817001,11.784722,247.22322
fid16,2016年家庭样本编码,27001,361911.59,184381.98,-8,-8,110114,130579,211384,370793,510037,620445,621233,717797,2845311,.59458554,8.7101421
fid14,2014年家庭样本编码,27001,360753.13,186938.55,-8,-8,-8,130333,211386,410190,510107,620460,621238,715812,2781941,.17578739,5.2831936
fid12,2012年家庭样本编码,27001,355884.31,191427.66,-8,-8,-8,120058,211190,410241,510106,620451,621233,701221,997793,-.18617187,2.4975674
fid10,2010年家庭样本编码,27001,331385.88,196309.2,-8,-8,-8,-8,140756,370404,450199,620227,620986,621665,621872,-.28612053,2.0013752
fid_base,基线家庭样本编码,27001,386899.97,154164.16,110006,120110,130571,140220,230421,410841,510392,620445,621100,621698,621872,-.16133179,2.0523906
age,年龄,27001,44.845081,19.777109,9,10,13,18,30,45,60,71,77,86,101,.10054846,2.0934606
gender,受访者性别,27001,.50020367,.50000924,0,0,0,0,0,1,1,1,1,1,1,-.00081478473,1.0000007
pid_a_f,父亲在调查中的样本编码,27001,330889824,203091248,-8,-8,-8,-8,140726208,370320192,450183104,620201088,621001088,621741184,5372111360,1.0182998,30.723623
pid_a_m,母亲在调查中的样本编码,27001,325245216,204118960,-8,-8,-8,-8,140444096,370187104,450104096,620159232,620981184,621700096,5372111360,.58094794,18.390682
selfrpt,有无自答问卷,27001,.87644905,.32907468,0,0,0,0,1,1,1,1,1,1,1,-2.287967,6.2347927
proxyrpt,有无代答问卷,27001,.12355098,.32907468,0,0,0,0,0,0,0,1,1,1,1,2.287967,6.2347927
proxy_iwmode,代答问卷模式,3336,1.9403477,.23687698,1,1,1,2,2,2,2,2,2,2,2,-3.7185018,14.827255
self_iwmode,自答问卷模式,23665,1.9642087,.18577324,1,1,2,2,2,2,2,2,2,2,2,-4.9976902,25.976908
interrupt,中断样本,558,1,0,1,1,1,1,1,1,1,1,1,1,1,,
proxytype,代答样本,3336,1.3447242,.47534952,1,1,1,1,1,1,2,2,2,2,2,.65340996,1.4269446
subsample,是否在全国再抽样样本中,27001,.68708569,.46368837,0,0,0,0,0,1,1,1,1,1,1,-.80696058,1.6511854
subpopulation,抽样子总体,27001,4.7400837,1.570019,1,1,2,2,3,6,6,6,6,6,6,-.85756958,2.3926923
psu,基线家庭初级抽样单位,27001,86.875336,53.904099,1,2,9,16,40,74,137,158,169,175,176,.069382429,1.590631
rswt_natcs22n,CFPS2022个人横截面权数（标准化）-无回答,24090,1.0210373,1.1373054,.0093198856,.053665761,.091167726,.1249386,.37841278,.81258261,1.333218,2.0072029,2.6309221,4.9304876,61.829376,12.322636,470.56934
rswt_natpn1022n,CFPS2022个人面板权数（标准化）-无回答权,18780,1.0009342,1.0319016,.0089845415,.052080337,.08893501,.12340029,.3703354,.7865212,1.3075985,2.00981,2.6762881,4.8169804,38.463795,6.0749388,126.40264
provcd22,2022年省国标码,27001,38.295803,15.440076,-9,11,13,14,23,41,51,62,62,62,65,-.15459953,2.1045911
countyid22,区县顺序码,27001,755.56201,1890.415,-9,2,12,20,48,107,154,2149,5830,8467,9992,3.3237064,13.421658
cid22,村居编码,27001,351613.81,320842.78,-9,-9,-9,-9,118200,214800,707401,877490,930619,989995,999838,.79173243,2.0402737
urban22,基于国家统计局资料的城乡分类,27001,.39294842,1.1797805,-9,-9,0,0,0,1,1,1,1,1,1,-6.4157419,51.532516
respc1pid,代答人样本编码（代答）,3336,361537152,192656400,-8,77,77,77,211791104,410931104,510359104,620286080,620943104,621662080,1796152704,-.25064611,4.0351057
tb6_a22_p,个人是否居住在家,27001,.93563199,.24541186,0,0,0,1,1,1,1,1,1,1,1,-3.5502775,13.604469
outunit22,外出单元序号,27001,-7.4636493,2.1695073,-8,-8,-8,-8,-8,-8,-8,-8,1,2,6,3.8205874,15.712859
iinterv,加载变量：个人自答长卷完访情况（1=完访，缺失代,25851,.34756875,2.3337579,-8,-8,-8,1,1,1,1,1,1,1,1,-3.29738,11.872715
iintervy,加载变量：最近一次调查个人自答长卷完访年,25851,1872.2208,525.66199,-8,-8,-8,2014,2018,2020,2020,2020,2020,2020,2020,-3.2973282,11.872506
gene,加载变量：是否属于基因成员,27001,.8921892,.31014708,0,0,0,0,1,1,1,1,1,1,1,-2.5290997,7.3963451
ibirthy,加载变量：出生年份,25851,1897.4893,389.04559,-8,-8,1936,1947,1959,1975,1991,2004,2009,2012,2012,-4.6811686,22.977514
gender_pre,加载变量：受访者性别,25851,.49862674,.50278533,-8,0,0,0,0,0,1,1,1,1,1,-.18078089,4.1361475
minzu,加载变量：民族数据是否有数据,27001,.62134737,1.806825,-8,-8,1,1,1,1,1,1,1,1,1,-4.5620618,21.812407
birthw,加载变量：出生时体重是否有数据,25851,.088197745,2.7157176,-8,-8,-8,-8,1,1,1,1,1,1,1,-2.6425922,7.9832935
huk,加载变量：最近一轮调查户口地址（1=有；缺失代表,25851,.61216199,1.8276359,-8,-8,1,1,1,1,1,1,1,1,1,-4.5000668,21.250599
birthp,加载变量：出生时家庭住址,25851,.086457007,2.7180161,-8,-8,-8,-8,1,1,1,1,1,1,1,-2.6390765,7.964725
a12p,加载变量：12岁时家庭住址,25851,-.5792039,3.4233615,-8,-8,-8,-8,1,1,1,1,1,1,1,-1.7064238,3.9118819
a12hk,加载变量：12岁时户口,25851,-.5792039,3.4233615,-8,-8,-8,-8,1,1,1,1,1,1,1,-1.7064238,3.9118819
military,加载变量：是否是退伍军人（1=是退伍军人；缺失代,25851,-7.761518,1.4455261,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,5.8962622,35.765907
edu_last,加载变量：最近一次调查最高学历,25851,3.0304823,2.6194923,-8,-8,0,0,0,4,5,6,7,7,9,-1.3527164,6.6672502
r1_last,加载变量：最近一次调查上学阶段,25851,-1.9255348,6.2289572,-8,-8,-8,-8,-8,-8,4,5,6,7,9,.093311295,1.1000286
respscale_times,加载变量：责任感量表回答次数（缺失代表从未回答过,25851,-6.0047965,4.0517993,-8,-8,-8,-8,-8,-8,-8,2,3,4,5,1.5786325,3.5979688
train,加载变量：是否乘坐过火车,25851,-4.0847163,4.4619365,-8,-8,-8,-8,-8,-8,1,1,1,1,1,.26209587,1.0686942
plane,加载变量：是否乘坐过飞机,25851,-7.4133687,2.2216513,-8,-8,-8,-8,-8,-8,-8,-8,1,1,1,3.5230052,13.411566
marriage_last,加载变量：最近一次访问婚姻状态,25851,.61900896,3.6201918,-8,-8,-8,-8,1,2,2,2,4,5,5,-1.8003561,4.7489009
retire,加载变量：是否已退休,25851,-6.6718116,3.1921787,-8,-8,-8,-8,-8,-8,-8,1,1,1,1,1.9872776,4.9492726
pension,加载变量：是否已经办理养老金领取手续（1=是，缺,27001,-6.9853711,2.8464873,-8,-8,-8,-8,-8,-8,-8,1,1,1,1,2.4489381,6.9972973
firstj_last,加载变量：是否采集第一份工作信息,25851,-2.3815713,4.358882,-8,-8,-8,-8,-8,1,1,1,1,1,1,-.51318222,1.263356
child16n,加载变量：访问当年家庭中16岁以下子女的数量（从,25851,1.3714364,1.4737349,-8,0,0,0,0,1,2,3,4,6,11,1.4122496,6.024035
mother_dead,加载变量：最近一次调查母亲已去世,25851,-5.1225486,4.1973825,-8,-8,-8,-8,-8,-8,1,1,1,1,1,.77313894,1.5977439
father_dead,加载变量：最近一次调查父亲已去世,25851,-4.3980503,4.4095645,-8,-8,-8,-8,-8,-8,1,1,1,1,1,.4073272,1.1659155
znjz2020,加载变量：2020年回答子女价值量表（1=是，缺,25851,-2.8923059,4.4588652,-8,-8,-8,-8,-8,1,1,1,1,1,1,-.27258322,1.0743016
party,加载变量：是否是共产党员（1=是，缺失代表不是或,27001,-7.2463613,2.4929917,-8,-8,-8,-8,-8,-8,-8,-8,1,1,1,3.0055702,10.033451
hand,加载变量：2020年P103题习惯用手是否已回答,25851,-7.0098643,2.8162315,-8,-8,-8,-8,-8,-8,-8,1,1,1,1,2.4926445,7.2132769
smokeage,加载变量：开始吸烟的年龄,25851,-5.0637112,4.219656,-8,-8,-8,-8,-8,-8,1,1,1,1,1,.74117017,1.5493332
fml_count,加载变量：家庭成员人数,25851,3.1025105,3.9202018,-8,-8,-8,1,2,4,5,6,7,10,16,-1.5810128,6.0118642
wordlist,加载变量：最近一次完成的字词测试题组编号（缺失代,25851,3.9206221,2.3317266,-8,1,1,1,2,4,6,8,8,8,8,.34503898,1.9137257
mathlist,加载变量：最近一次完成的数学测试题组编号（缺失代,25851,2.2416153,1.0996548,-8,1,1,1,1,2,3,4,4,4,4,.27543169,2.6643963
ses14,加载变量：是否已采集14岁时父母的信息（1=是，,25850,-1.3281624,3.9412844,-8,-8,-8,-8,-8,1,1,1,1,1,1,-1.1021177,2.2146633
cyear,访问年份,27001,2022,0,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,,
cmonth,访问月份,27001,8.2164736,1.5508147,5,5,6,7,7,8,9,11,11,12,12,.6991415,2.8946142
qa001y,出生日期（年）,23665,61.836975,366.55591,-8,-8,-8,-8,-8,-8,-8,-8,-8,1995,2013,5.0584807,26.590176
qa001m,出生日期（月）,23665,-7.4982886,2.7201433,-8,-8,-8,-8,-8,-8,-8,-8,-8,9,12,5.5443625,33.238991
qa001b,年龄,23665,-7.9981408,.28602198,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,36,153.82457,23663
ibirthy_update,出生年份更新,23666,1979.1377,22.552513,-2,1942,1950,1954,1965,1980,1993,2005,2009,2012,2013,-28.670498,2517.4009
qa002,受访者性别,23665,.50534546,.50301552,-8,0,0,0,0,1,1,1,1,1,1,-.22458403,4.4308696
qa301,现在的户口状况,25851,1.3736413,3.697571,-8,-8,-8,1,1,1,3,7,7,7,79,2.7855783,79.039848
qa3020,户口所在地变化,23665,-.94299597,2.6192977,-8,-8,-8,-8,0,0,0,0,0,1,1,-2.3118913,6.3831792
qa302,现在的户口所在地,23665,-7.4005914,2.4641135,-8,-8,-8,-8,-8,-8,-8,-8,1,5,6,4.0181241,17.844687
qa303y,离开户口所在地年份（年）,24815,114.44385,482.81506,-8,-8,-8,-8,-8,-8,-8,-8,2015,2022,2022,3.6903977,14.619194
qa303m,离开户口所在地月份（月）,24815,-7.2127342,3.2324693,-8,-8,-8,-8,-8,-8,-8,-8,2,9,12,4.158998,19.440632
qa401,出生时家庭地址,23665,-7.8957953,1.074967,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,6,10.720781,120.7338
qa601,12岁时居住地是否与出生地相同,23665,-7.8048596,1.3040355,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,6.5405688,43.826653
qa602,12岁时居住地,23665,-7.9754066,.53753966,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,6,22.44437,517.53888
qa603,12岁时户口状况,23665,-7.7731671,1.7036675,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,79,16.067503,602.29248
qa9,是否是退伍军人,23665,-1.8437778,3.3722675,-8,-8,-8,-8,0,0,0,0,0,0,1,-1.2772509,2.6328621
qa901,参军开始时间（年）,23665,-3.4241285,95.677414,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2020,20.865683,436.42157
qa902,参军结束时间（年）,23665,-3.3298542,96.760475,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,2022,20.673382,428.42676
qc1,现在在上学吗,27001,-3.8677456,4.1455407,-8,-8,-8,-8,-8,-8,0,1,1,1,1,.018357385,1.0253474
qc2,是否处在假期,27001,-3.8978927,4.1135526,-8,-8,-8,-8,-8,-8,0,1,1,1,1,.015891293,1.0222274
school,上学状态,27001,-3.4441688,4.7730498,-8,-8,-8,-8,-8,-8,0,5,5,5,5,.30439988,1.5560765
qc3,现在上哪个阶段,27001,-6.2001038,4.426887,-8,-8,-8,-8,-8,-8,-8,3,5,7,9,2.0974739,5.5327005
qc4,是全日制还是在职学生,27001,-6.6926041,3.2009177,-8,-8,-8,-8,-8,-8,-8,1,1,1,5,2.0620439,5.3407359
qc5,正在上几年级,27001,-6.4356136,3.8693876,-8,-8,-8,-8,-8,-8,-8,2,3,6,9,2.1458511,5.8350997
wr0s1,就读学校名称确认,23665,-7.6730194,1.6729743,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,4.9279079,25.318367
wr0s2,就读学校确认,23665,-7.960659,.57670486,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,14.641948,216.1403
qr0,哪年起就读（年）,23665,238.18094,662.28369,-8,-8,-8,-8,-8,-8,-8,2018,2021,2021,2022,2.3184536,6.3752341
qr1,就近入学,23665,-7.1863089,2.5401406,-8,-8,-8,-8,-8,-8,-8,-8,1,1,1,2.8117628,8.9391232
qr2,如何入读该校,23665,-7.4200296,5.600173,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,77,13.89995,207.60275
qr3,是否缴纳赞助费或借读费,23665,-7.259624,2.3227465,-8,-8,-8,-8,-8,-8,-8,-8,0,0,1,2.8207901,8.9656162
qr4,择校/赞助费（元）,23665,34.945869,1403.1832,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,100000,49.458946,2860.998
qr5,为入学变更居住地,23665,-7.2450457,2.3545051,-8,-8,-8,-8,-8,-8,-8,-8,0,0,1,2.8031225,8.8767548
qr6,如何变更居住地,23665,-7.8870907,1.890918,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,77,35.678444,1551.8058
qr7,为入学变更居户口地址,23665,-7.2519331,2.3318355,-8,-8,-8,-8,-8,-8,-8,-8,0,0,1,2.7975042,8.8306599
qs1002,目前就读学校所在地,23665,-6.3399115,3.8840628,-8,-8,-8,-8,-8,-8,-8,2,3,4,4,1.9447699,4.8680558
qs3,现在上的是哪类小学,23665,-7.5541096,1.9536005,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,5,4.1541853,18.265085
qs4_b_1,现在上哪类初中,23665,-7.6660891,1.7011242,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,4.8981462,24.991835
qs5,现上哪类高中,23665,-7.6482992,1.8799747,-8,-8,-8,-8,-8,-8,-8,-8,-8,3,6,5.3366656,30.573496
qs601,是否公立学校,23665,-6.9233046,2.8992536,-8,-8,-8,-8,-8,-8,-8,1,1,1,1,2.3263633,6.4257889
qs602,是否示范/重点学校,23665,-7.1257553,2.5387111,-8,-8,-8,-8,-8,-8,-8,0,0,1,1,2.5714309,7.6523914
qs603,是哪种类型的私立学校,23665,-6.9565601,9.2800722,-8,-8,-8,-8,-8,-8,-8,-8,-8,77,77,8.9185686,80.686218
qs604,是否在重点班,23665,-6.5787029,3.8580482,-8,-8,-8,-8,-8,-8,-8,3,5,5,5,2.3942354,6.8630848
qs605,班级人数（人）,23665,-1.2464821,18.799009,-8,-8,-8,-8,-8,-8,-8,36,50,64,120,2.6137304,8.486516
qs606,年级人数（人）,23665,52.268497,244.36864,-8,-8,-8,-8,-8,-8,-8,84,400,1210,5000,6.4213638,59.850098
qs7,上哪类大专,23665,-7.8674412,1.1137389,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,4,8.3523989,71.42189
qs8,现在上哪类本科,23665,-7.8174944,1.5900505,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,77,22.98563,1049.1489
qs801_b_1,专业人数（人）,23665,-3.0629199,63.559177,-8,-8,-8,-8,-8,-8,-8,-8,-8,110,3000,23.985666,727.54004
qs10,学校是否能够寄宿,23665,-6.4104795,3.7660105,-8,-8,-8,-8,-8,-8,-8,1,1,5,5,2.0594308,5.570868
qs1001,学校是否能够寄宿,23665,-7.0449185,2.7262502,-8,-8,-8,-8,-8,-8,-8,0,1,1,1,2.5132451,7.3440976
qs1003,寄宿时每月回家次数(次),23665,-7.2234526,2.7182956,-8,-8,-8,-8,-8,-8,-8,-8,1,4,30,3.4094338,13.994179
qs11,从住处到学校有多远(公里),23665,-7.1200843,4.3478575,-8,-8,-8,-8,-8,-8,-8,-8,1,5,100,13.511188,286.36783
qs1102,从住处到学校出行方式,23665,-7.1184025,4.3226266,-8,-8,-8,-8,-8,-8,-8,-8,1,4,77,12.640858,232.23367
qs1103,住处到学校需几分钟(分钟),23665,-6.3236003,8.6229324,-8,-8,-8,-8,-8,-8,-8,-8,7,20,240,14.532359,336.78864
kr425,最近一次期中、期末考试班级排名(%),23665,-6.600338,4.483932,-8,-8,-8,-8,-8,-8,-8,1,3,6,79,8.0019979,132.05925
kr426,最近一次期中、期末考试年级排名(%),23665,-6.4033804,5.8458309,-8,-8,-8,-8,-8,-8,-8,2,4,6,79,9.1727934,126.29041
kr4301,是否曾请假,23665,-7.0089583,2.6692388,-8,-8,-8,-8,-8,-8,-8,0,0,1,1,2.329711,6.452909
kr4302,是否曾旷课,23665,-7.0276356,2.6161001,-8,-8,-8,-8,-8,-8,-8,0,0,0,1,2.3192708,6.3809667
kr431,请假旷课的主因,23665,-7.5969152,4.6969972,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,77,16.903595,302.61716
kr432,一共请假和旷课几次(次),23665,-7.7948871,1.4647708,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,20,7.6891537,70.057327
kra605,上学期本专业排名(%),23665,-7.4168606,5.1217127,-8,-8,-8,-8,-8,-8,-8,-8,-8,4,79,14.869686,247.155
qs1011,非周末学习时间(小时/天),23665,-5.4539533,6.0625901,-8,-8,-8,-8,-8,-8,-8,7.5,10,14,24,2.0875638,5.7282562
qs1012,周末学习时间(小时/天),23665,-6.1238751,4.5143213,-8,-8,-8,-8,-8,-8,-8,2,5,10,24,2.2136374,6.6812553
qs1_b_2,是否担任学生干部,23665,-6.5460386,4.8314829,-8,-8,-8,-8,-8,-8,-8,0,1,1,79,11.219134,191.71803
qs102b,担任的最高职务级别,23665,-7.5025144,2.1521537,-8,-8,-8,-8,-8,-8,-8,-8,1,3,5,4.2023878,19.246296
qs2,是否参加学生社团,23665,-4.426199,13.43594,-8,-8,-8,-8,-8,-8,-8,5,5,79,79,5.5323353,34.262383
qs201,参加了几个社团(个),23665,-7.6276779,1.8337152,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,7,4.7626944,23.939062
qs202,是否担任社团干部,23665,-7.6752586,1.5956829,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,1,4.7211056,23.34973
qs3m,与同学交谈的语言,23665,-6.548912,3.3829157,-8,-8,-8,-8,-8,-8,-8,1,1,2,6,1.9203682,4.7520418
qs4_b_2,学习好天赋占比(%),23665,1.0019438,23.108362,-8,-8,-8,-8,-8,-8,-8,50,60,90,100,2.5300722,8.2932825
qs501_b_2,自己的学业情况,23665,-6.219903,4.1542153,-8,-8,-8,-8,-8,-8,-8,3,4,5,5,1.9248012,4.7584724
qs502,学习压力,23665,-6.3191209,3.9301929,-8,-8,-8,-8,-8,-8,-8,2,3,4,5,1.9406407,4.8489027
qs503,有多优秀,23665,-6.2648635,4.0464668,-8,-8,-8,-8,-8,-8,-8,3,3,4,5,1.9193434,4.728507
qs504,适合做学生干部,23665,-6.2991762,3.9773374,-8,-8,-8,-8,-8,-8,-8,3,3,5,5,1.9415215,4.8533139
qs601n,我学习很努力,23665,-7.2072682,3.033133,-8,-8,-8,-8,-8,-8,-8,-8,3,4,79,5.0621891,66.559937
qs602n,会集中精力学习,23665,-7.1966195,2.9920034,-8,-8,-8,-8,-8,-8,-8,-8,4,5,5,3.4721298,13.118377
qs603mn,会检查学校功课,23665,-7.2061696,2.9987397,-8,-8,-8,-8,-8,-8,-8,-8,3,4,79,4.3014727,41.145432
qs604n,遵守校规校纪,23665,-7.16573,3.1047468,-8,-8,-8,-8,-8,-8,-8,-8,4,5,5,3.4635887,13.037716
qs605n,把物品摆放整齐,23665,-7.1837735,3.0397537,-8,-8,-8,-8,-8,-8,-8,-8,4,5,5,3.4715812,13.112101
qs606mn,完成学校功课后才玩,23665,-7.1894779,3.1357768,-8,-8,-8,-8,-8,-8,-8,-8,4,5,79,5.6161094,83.102371
qs701,对学校满意程度,23665,-6.1457005,4.3302522,-8,-8,-8,-8,-8,-8,-8,4,5,5,5,1.9289809,4.777607
qs702,对班主任老师满意程度,23665,-5.9126983,6.1187873,-8,-8,-8,-8,-8,-8,-8,4,5,5,79,7.3374882,93.67952
qs703,对语文老师满意程度,23665,-6.4423833,4.7520132,-8,-8,-8,-8,-8,-8,-8,4,5,5,79,6.5438671,96.024101
qs704,对数学老师满意程度,23665,-6.4310584,4.8997979,-8,-8,-8,-8,-8,-8,-8,3,5,5,79,7.0685959,104.38647
qs705,对外语老师满意程度,23665,-6.3608704,5.6042285,-8,-8,-8,-8,-8,-8,-8,3,5,5,79,8.4049463,117.56848
qint001,生气,23665,-6.7205157,3.4688771,-8,-8,-8,-8,-8,-8,-8,1,2,4,5,2.3903816,6.8636222
qext002,吵架,23665,-6.8152966,3.2046075,-8,-8,-8,-8,-8,-8,-8,1,2,4,5,2.3730931,6.7634473
qint003,考试,23665,-6.7446017,3.4075642,-8,-8,-8,-8,-8,-8,-8,1,2,4,5,2.4029131,6.9565439
qext004,注意力,23665,-6.7234311,3.4619226,-8,-8,-8,-8,-8,-8,-8,1,2,4,5,2.3932791,6.8849344
qint005,寂寞,23665,-6.7908726,3.2766824,-8,-8,-8,-8,-8,-8,-8,1,2,4,5,2.3904414,6.8828788
qext006,分心,23665,-6.71629,3.4811454,-8,-8,-8,-8,-8,-8,-8,1,2,4,5,2.3924127,6.8769422
qint007,悲伤,23665,-6.8058739,3.2325897,-8,-8,-8,-8,-8,-8,-8,1,2,4,5,2.3804286,6.8140907
qext008,完成作业,23665,-6.8068876,3.2308459,-8,-8,-8,-8,-8,-8,-8,1,2,4,5,2.3839359,6.8410249
qint009,表现,23665,-6.719121,3.4748201,-8,-8,-8,-8,-8,-8,-8,1,2,4,5,2.3961625,6.9032054
qint010,担心作业,23665,-6.7538137,3.3835158,-8,-8,-8,-8,-8,-8,-8,1,2,4,5,2.4061978,6.9819345
qint011,玩伴,23665,-6.8021131,3.2475891,-8,-8,-8,-8,-8,-8,-8,1,2,4,5,2.3955045,6.9228826
qext012,多嘴,23665,-6.8016057,3.2452803,-8,-8,-8,-8,-8,-8,-8,1,2,4,5,2.3836453,6.8356967
qext013,打架,23665,-6.8489752,3.1101744,-8,-8,-8,-8,-8,-8,-8,1,1,2,5,2.3637056,6.7026596
qint014,羞愧,23665,-6.606761,3.7762296,-8,-8,-8,-8,-8,-8,-8,2,4,5,5,2.3823245,6.7881417
pt1,是否参加辅导班,23665,-6.7230511,2.9730511,-8,-8,-8,-8,-8,-8,-8,0,0,1,1,1.9064152,4.6572604
pt2,是否参加学校辅导,23665,-6.717135,2.9873981,-8,-8,-8,-8,-8,-8,-8,0,0,1,1,1.9079907,4.6660962
pt201,每周参加学校课程辅导时间（小时）,23665,-7.3051171,4.568192,-8,-8,-8,-8,-8,-8,-8,-8,-8,11,70,9.5013046,115.06642
pt3,是否参加竞赛辅导,23665,-7.0270863,2.6176803,-8,-8,-8,-8,-8,-8,-8,0,0,0,1,2.3196578,6.3836775
pt301,每周参加竞赛辅导时间（小时）,23665,-7.9788971,.56188679,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,35,36.429821,1882.8297
pt4,是否参加才艺培养,23665,-6.7367845,2.9394629,-8,-8,-8,-8,-8,-8,-8,0,0,1,1,1.9017605,4.6305771
pt401,每周参加才艺培养辅导时间（小时）,23665,-7.7969575,2.0434902,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,70,17.886293,486.01825
pt5,是否参加心智开发,23665,-6.7505178,2.9054215,-8,-8,-8,-8,-8,-8,-8,0,0,0,1,1.8954523,4.5935512
pt501,每周参加心智开发辅导时间（小时）,23665,-7.9915276,.329458,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,14,42.857857,2034.5828
pt7,是否参加其他辅导班,23665,-6.739996,2.9315436,-8,-8,-8,-8,-8,-8,-8,0,0,1,1,1.9004401,4.6228962
pt701,每周参加其他辅导时间（小时）,23665,-7.801631,2.2996833,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,70,18.119993,436.98499
pt8,是否请家教,23665,-6.7497149,2.9074244,-8,-8,-8,-8,-8,-8,-8,0,0,0,1,1.8958699,4.5960259
pd503r,过去12个月课外辅导费（元）,23665,119.00478,2513.3789,-8,-8,-8,-8,-8,-8,-8,-8,0,1100,180000,40.973385,2135.9465
pd501a,是否支付学杂费,23665,-7.3618002,2.2877281,-8,-8,-8,-8,-8,-8,-8,-8,1,1,1,3.3128746,12.000964
pd502a,是否支付伙食、住宿及校车费,23665,-7.361589,2.2884355,-8,-8,-8,-8,-8,-8,-8,-8,1,1,1,3.3126435,11.998937
pd503a,是否支付书本及用具费,23665,-7.3631945,2.2829118,-8,-8,-8,-8,-8,-8,-8,-8,1,1,1,3.3137989,12.009439
pd504a,过去12个月是否有其他费用,23665,-7.4058313,2.1305673,-8,-8,-8,-8,-8,-8,-8,-8,0,1,1,3.3178365,12.053182
pd501b,过去12个月学校教育支出(元/年),23665,761.28064,4496.8335,-8,-8,-8,-8,-8,-8,-8,-8,4000,20000,250000,15.647654,528.44983
pd577rn,过去12个月其他费用(元/年),23665,144.72893,1559.9053,-8,-8,-8,-8,-8,-8,-8,-8,0,5000,108000,29.174501,1416.9707
pd5total,教育支出总费用,23665,1039.8851,6167.9639,-8,-8,-8,-8,-8,-8,-8,-8,5800,26000,260000,13.780377,324.47498
pd5ckp,教育总支出确认,23665,-7.1124024,3.2393596,-8,-8,-8,-8,-8,-8,-8,-8,5,5,5,3.3989384,12.621957
pd5total_mn,教育总支出(元/年),23665,158.29369,2577.4297,-8,-8,-8,-8,-8,-8,-8,-8,-8,-1,140000,26.590776,963.90802
pd6,过去12个月亲戚朋友支付 （元）,23665,13.816565,1340.3441,-8,-8,-8,-8,-8,-8,-8,-8,0,0,200000,140.9655,20951.676
wd7rn,政府、学校及其他组织机构支付,23665,-7.4007182,2.1495886,-8,-8,-8,-8,-8,-8,-8,-8,0,1,1,3.3213813,12.084953
kwc1,最高学历确认,23665,.64208746,1.2254086,-8,-8,0,0,1,1,1,1,1,1,1,-6.2050886,43.718288
edu_update,EDU_UPDATE,23665,3.7950561,2.1468449,-8,0,0,0,3,4,5,6,7,10,10,-.25151739,3.2206619
kw01,最高学历,23665,-5.2433553,5.3249445,-8,-8,-8,-8,-8,-8,-8,5,6,10,10,1.4901559,3.4216449
kw2y,离开学校（年）,23665,166.21039,566.3338,-8,-8,-8,-8,-8,-8,-8,-8,2012,2022,2022,2.945256,9.6754541
kw2m,离开学校（月）,23665,-6.6837945,4.1134644,-8,-8,-8,-8,-8,-8,-8,-8,6,8,12,2.9468367,10.057968
kw0,其他教育经历,23665,-6.7287979,3.0436966,-8,-8,-8,-8,-8,-8,-8,0,1,1,1,1.9877517,4.9818659
kw1_s_1,上次调查至今或曾经经历过的教育阶段：选择1,23665,-7.0418763,3.3099895,-8,-8,-8,-8,-8,-8,-8,-8,3,7,9,3.2554541,11.937259
kw1_s_2,上次调查至今或曾经经历过的教育阶段：选择2,23665,-7.6420875,2.0035939,-8,-8,-8,-8,-8,-8,-8,-8,-8,4,8,5.4916506,31.623587
